,sg_uf,dis_name,YEAR,cases,pop,pop_100k,mor_100k,mor_num,cnr_per 100k pop,res_cases,cured,t_com,died,fail,treat_death,p_cov,def,other,t_out,not_eva,fail_not_val_t_out,beds,fhs,fhs_sc,abandon,f_treated,has_prison,k50,pct_idc,temp,humi,rain
1,1,Barguna,2008,795,938660,9.3866,51,478.7166,76.17,715,640,21,32.24475524,4,29,0.899371069,10,11,11,0,15,311,1.325293504,1.325293504,0.012578616,0.899371069,0,0.9942,0.000426139,25.91781087,81.17420668,6.841456387
2,1,Barguna,2009,815,946734,9.46734,51,482.83434,78.06,739,657,7,46.31935047,7,42,0.906748466,19,7,7,0,14,311,1.313991047,1.313991047,0.023312883,0.906748466,0,0.9942,0.000739384,26.4149158,82.1726561,5.853734501
3,1,Barguna,2010,933,954878,9.54878,43,410.59754,86.5,826,724,1,47.44067797,2,42,0.885316184,20,34,34,3,39,311,1.30278423,1.30278423,0.021436227,0.885316184,0,0.9942,0.000209451,26.6066519,81.52090786,6.00397919
4,1,Barguna,2011,931,963092,9.63092,46,443.02232,82.03,790,729,3,45.96075949,1,39,0.848549946,2,16,16,0,17,311,1.29167307,1.29167307,0.002148228,0.848549946,0,0.9942,0.000103832,26.38690785,82.68054782,7.070547311
5,1,Barguna,2012,1101,"932,541",9.32541,45,419.64345,96.3,898,856,0,44.13808463,4,36,0.815622162,1,1,1,0,5,311,1.333989605,1.333989605,0.000908265,0.815622162,0,0.9942,0.000428936,25.74343232,81.89431881,5.870758607
6,1,Barguna,2013,1371,"937,215",9.37215,51,477.97965,95.28,893,849,0,53.73460246,3,35,0.65134938,4,0,0,2,5,311,1.327336844,1.327336844,0.002917578,0.65134938,0,0.9942,0.000320097,25.4479972,81.70068575,7.163547866
7,1,Barguna,2014,1259,"941,913",9.41913,51,480.37563,131.12,845,797,9,46.18816568,3,31,0.671167593,4,1,1,0,4,311,1.320716457,1.320716457,0.003177125,0.671167593,0,0.9942,0.000318501,26.2062894,79.73311835,5.019262665
8,1,Barguna,2015,1296,946635,9.46635,45,425.98575,135.96,859,792,12,55.82305006,4,37,0.662808642,11,2,2,1,7,311,1.314128466,1.314128466,0.008487654,0.662808642,0,0.9942,0.000422549,26.23434185,80.86170212,7.87845079
9,1,Barguna,2016,1439,"951,380",9.5138,40,380.552,150.62,970,912,0,45.98865979,2,31,0.674079222,17,2,2,6,10,311,1.307574261,1.307574261,0.01181376,0.674079222,0,0.9942,0.000210221,26.737034,81.9880923,7.193411016
10,1,Barguna,2017,1606,"956,148",9.56148,36,344.21328,167.55,1076,987,0,46.26951673,6,31,0.669987547,42,0,0,10,16,311,1.301053812,1.301053812,0.02615193,0.669987547,0,0.9942,0.000627518,26.3484563,83.12187218,7.801331041
11,2,Barisal,2008,2844,2567464,25.67464,51,1309.40664,92.5,2375,2094,93,102.9827368,5,86,0.835091421,52,44,44,1,50,1966,3.062944602,3.062944602,0.018284107,0.835091421,1,0.9942,0.000194745,25.84279399,81.3490493,5.344280281
